MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time,Dataset_Index
0.3401641638120211,-0.0002847193284183,54.745665073394775,1,1,2,22.21675539016724,0
0.4951277734433333,-6.334381646766474e-06,55.40632224082947,1,1,2,21.412124633789062,1
0.3932084284693337,-0.0839527821945906,56.043943643569946,1,1,2,21.56105065345764,2
0.1433336345981262,-0.0110019864526587,54.98050713539124,1,1,2,21.553028345108032,3
0.1350908415941896,-0.0912201421001694,55.08013415336609,1,1,2,21.51609206199646,4
0.2606468271005384,-0.2314310537039039,55.39509701728821,1,1,2,21.49100637435913,5
0.3401166492419186,-0.0001449982658396,55.49943399429321,1,1,2,21.563550233840942,6
0.3533909462529976,-0.0002490563548134,68.15227437019348,1,1,2,35.23432469367981,7
0.332177862093697,-7.618054989055878e-07,61.108216762542725,1,1,2,23.73782444000244,8
0.3980303705749881,-0.2029432006417126,60.93104410171509,1,1,2,24.06502342224121,9
0.1853385988146326,0.4549944173470704,96.22742319107056,1,2,3,37.08698058128357,0
0.1148418032426747,0.7680547590860825,94.9031994342804,1,2,3,38.86061406135559,1
0.2021204716924335,0.4428170106059081,93.45699310302734,1,2,3,42.60401487350464,2
0.1325058777461642,0.0653714601347558,91.27437663078308,1,2,3,35.421109437942505,3
0.0688715971881409,0.4436775048298966,91.36851167678832,1,2,3,35.49923253059387,4
0.1383874367819758,0.3461858370135561,90.5657081604004,1,2,3,33.95816969871521,5
0.1975333088456748,0.4191347254736097,99.97391033172607,1,2,3,35.41126489639282,6
0.3387176038757179,0.0412828420202447,103.8584451675415,1,2,3,40.611307859420776,7
0.1751689684332028,0.4726647321594344,103.45813846588136,1,2,3,39.565510749816895,8
0.1990608719992166,0.3983903234837342,96.54614424705504,1,2,3,41.09694314002991,9
0.2222753298880809,0.3463784853786135,117.03317070007324,1,3,4,45.27424669265747,0
0.2475888209542814,0.4999464733022067,117.22126007080078,1,3,4,45.22581505775452,1
0.5546431910601148,-0.5289779835474342,117.2081458568573,1,3,4,45.34630537033081,2
0.1306919098374151,0.0781662599334815,117.06546640396118,1,3,4,45.551941871643066,3
0.1351753355799677,-0.091902657199486,117.02574253082275,1,3,4,45.015000104904175,4
0.1102516924142089,0.4791137138611744,116.98421335220335,1,3,4,45.32306027412415,5
0.3400745366537929,-2.116223937087547e-05,116.88273215293884,1,3,4,45.20323324203491,6
0.3507583979890203,0.0072021925941808,116.51832365989684,1,3,4,45.251118659973145,7
0.2287693734814459,0.3113040516388059,117.277898311615,1,3,4,44.12094736099243,8
