MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time
0.34016416381202114,-0.0002847193284183369,54.745665073394775,1,1,2,22.216755390167236
0.49512777344333336,-6.334381646766474e-06,55.40632224082947,1,1,2,21.412124633789062
0.39320842846933374,-0.08395278219459068,56.043943643569946,1,1,2,21.56105065345764
0.14333363459812629,-0.011001986452658707,54.980507135391235,1,1,2,21.553028345108032
0.13509084159418966,-0.09122014210016949,55.08013415336609,1,1,2,21.51609206199646
0.2606468271005384,-0.23143105370390393,55.39509701728821,1,1,2,21.49100637435913
0.34011664924191864,-0.0001449982658396909,55.49943399429321,1,1,2,21.563550233840942
0.35339094625299766,-0.00024905635481342614,68.15227437019348,1,1,2,35.23432469367981
0.33217786209369704,-7.618054989055878e-07,61.108216762542725,1,1,2,23.73782444000244
0.39803037057498813,-0.20294320064171267,60.93104410171509,1,1,2,24.06502342224121
0.18533859881463266,0.45499441734707047,96.22742319107056,1,2,3,37.08698058128357
0.11484180324267478,0.7680547590860825,94.9031994342804,1,2,3,38.86061406135559
0.20212047169243352,0.44281701060590817,93.45699310302734,1,2,3,42.60401487350464
0.13250587774616426,0.06537146013475581,91.27437663078308,1,2,3,35.421109437942505
0.06887159718814091,0.44367750482989665,91.36851167678833,1,2,3,35.49923253059387
0.13838743678197582,0.3461858370135561,90.56570816040039,1,2,3,33.95816969871521
0.19753330884567483,0.41913472547360975,99.97391033172607,1,2,3,35.41126489639282
0.3387176038757179,0.04128284202024479,103.8584451675415,1,2,3,40.611307859420776
0.17516896843320282,0.4726647321594344,103.45813846588135,1,2,3,39.565510749816895
0.19906087199921665,0.39839032348373427,96.54614424705505,1,2,3,41.09694314002991
0.22227532988808096,0.3463784853786135,117.03317070007324,1,3,4,45.27424669265747
0.24758882095428142,0.49994647330220676,117.22126007080078,1,3,4,45.22581505775452
0.5546431910601148,-0.5289779835474342,117.2081458568573,1,3,4,45.34630537033081
0.13069190983741513,0.07816625993348159,117.06546640396118,1,3,4,45.551941871643066
0.13517533557996778,-0.09190265719948609,117.02574253082275,1,3,4,45.015000104904175
0.11025169241420894,0.4791137138611744,116.98421335220337,1,3,4,45.323060274124146
0.3400745366537929,-2.116223937087547e-05,116.88273215293884,1,3,4,45.20323324203491
0.35075839798902037,0.007202192594180867,116.51832365989685,1,3,4,45.251118659973145
0.22876937348144594,0.3113040516388059,117.27789831161499,1,3,4,44.12094736099243
0.5285833386092452,-0.5975055678136845,121.94317030906677,1,3,4,44.57574415206909
0.2245376460446731,0.3397259319280407,154.74435234069824,1,4,5,59.87280559539795
0.4948087422140219,0.0006380109112023025,152.64647340774536,1,4,5,59.90046548843384
0.228673491466027,0.36961863138678275,158.56639504432678,1,4,5,58.585245847702026
0.1434282163681902,-0.01166911777661439,149.71831011772156,1,4,5,59.59976530075073
0.15714926335889676,-0.2694009413944456,152.97126126289368,1,4,5,60.76634407043457
0.2794934904716931,-0.32047248494677016,149.17823696136475,1,4,5,59.34143924713135
0.22284239827377963,0.3447109674523511,144.4743254184723,1,4,5,59.33307981491089
0.35339382017085463,-0.00025719078399144557,152.75869631767273,1,4,5,55.52779483795166
0.332231440042272,-0.0001620548822054424,158.20738005638123,1,4,5,62.29631018638611
0.2244127039080518,0.32177100980048534,155.29143357276917,1,4,5,61.48888611793518
0.34015500029797463,-0.00025777315345010265,180.47123217582703,1,5,6,84.01568531990051
0.4951246893486101,-1.0545565132247248e-07,180.66247463226318,1,5,6,69.03042840957642
0.39413348336315773,-0.08650286951023278,171.1047387123108,1,5,6,65.079341173172
0.14338561168381816,-0.011368606171971773,178.8471462726593,1,5,6,70.08323216438293
0.12200707990587865,0.014466254699490033,183.5894958972931,1,5,6,68.71107387542725
0.26128769755874104,-0.23445885877028894,178.7998387813568,1,5,6,67.88230228424072
0.37937767082864715,-0.11559572510998195,188.20749521255493,1,5,6,69.20499992370605
0.35187663718010015,0.004037092561154698,180.3008692264557,1,5,6,70.57296633720398
0.4246674348207584,-0.27843485913868604,180.40788865089417,1,5,6,70.63312220573425
0.3971019854059649,-0.20013739809694786,177.8424472808838,1,5,6,68.794260263443
0.33507948052107006,0.01466727015091307,104.19828248023987,2,1,3,39.58880043029785
0.6474750577129881,-0.30770115068330606,107.7985007762909,2,1,3,40.03165030479431
0.40630837415016885,-0.12006523945451075,98.26322174072266,2,1,3,38.62393069267273
0.29403135463649,-1.0739464568126116,99.75489616394043,2,1,3,36.69504952430725
0.14704656766831653,-0.1877946319142929,96.76880311965942,2,1,3,36.26952910423279
0.1920997872568381,0.09242078229198092,96.87820720672607,2,1,3,35.964022397994995
0.30692651057390696,0.09745372633217486,96.55914163589478,2,1,3,36.03844666481018
0.316658357269543,0.10372004035731841,96.54083847999573,2,1,3,36.06625437736511
0.2664121190489021,0.1979829109503608,96.33039593696594,2,1,3,35.85596203804016
0.37640554866345854,-0.137587804655261,96.50202131271362,2,1,3,36.00413966178894
0.08796697795478677,0.7413248272022608,160.7340018749237,2,2,5,60.12898373603821
0.0673877997028083,0.8638973005004285,160.704998254776,2,2,5,60.194374561309814
0.11637660040903616,0.6791860736892595,163.3419644832611,2,2,5,60.14605927467346
0.19165849325747286,-0.3518607683891213,177.4846522808075,2,2,5,62.23397254943848
0.04707378359122595,0.6197531956021245,176.49780774116516,2,2,5,71.94800448417664
0.09176762173681169,0.5664420688011134,183.59522581100464,2,2,5,69.43316292762756
0.13270510960170667,0.6097681430524072,195.634859085083,2,2,5,73.34427523612976
0.21168988904657796,0.4008261558373225,198.93872094154358,2,2,5,76.6034324169159
0.09350228471484645,0.7185171963114538,200.64668798446655,2,2,5,77.32757830619812
0.12647719930134074,0.6177555830325996,206.4462890625,2,2,5,85.14741444587708
