MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,embedding,dataset
0.04894559529446798,0.8560708732430001,31.72389841079712,1,1,2,amplitude,0
0.16497399090682913,0.6668031066652931,31.844158411026,1,1,2,amplitude,1
0.069373222673764,0.8087597002440756,32.618058919906616,1,1,2,amplitude,2
0.24290091747062686,-0.7132985622147008,37.39500331878662,1,1,2,amplitude,3
0.05192680904001074,0.5805520250612901,37.600499868392944,1,1,2,amplitude,4
0.04446036464288297,0.7899461340493253,33.9055757522583,1,1,2,amplitude,5
0.024715967271045917,0.9273203734702907,34.05320954322815,1,1,2,amplitude,6
0.42889663588638655,-0.21396277937460928,33.72259330749512,1,1,2,amplitude,7
0.06016226465413633,0.8188852498872714,32.5245566368103,1,1,2,amplitude,8
0.10215137393511428,0.691274058977105,43.206071853637695,1,1,2,amplitude,9
0.4653502772432999,-0.36840626080455485,74.46913504600525,2,1,3,amplitude,0
0.28244861454136816,0.4295403755794073,59.42368793487549,2,1,3,amplitude,1
0.314622971277688,0.1326827698318881,70.987135887146,2,1,3,amplitude,2
0.1185582078156555,0.16375117432861275,68.22456526756287,2,1,3,amplitude,3
0.11024447030643106,0.10948081206775273,64.86518263816833,2,1,3,amplitude,4
0.17901457174823754,0.1542421399541758,65.37619972229004,2,1,3,amplitude,5
0.3277255841513454,0.03629209412921219,61.57990503311157,2,1,3,amplitude,6
0.3416854995371486,0.03288241505350442,60.357144355773926,2,1,3,amplitude,7
0.442905060516798,-0.33333809523820324,56.36015701293945,2,1,3,amplitude,8
0.2706175353581007,0.1821289323646852,63.25213146209717,2,1,3,amplitude,9
0.03675634879227736,0.8919144990959765,77.11971807479858,3,1,3,amplitude,0
0.10851991200006632,0.7808230415920605,76.77872681617737,3,1,3,amplitude,1
0.07063139376971017,0.8052913156389017,76.60213017463684,3,1,3,amplitude,2
0.11769941549199033,0.16980865516770627,74.54700517654419,3,1,3,amplitude,3
0.057252425517920924,0.5375334169808582,73.55089926719666,3,1,3,amplitude,4
0.0328448086117593,0.844824056646273,80.94753623008728,3,1,3,amplitude,5
0.026117334749585473,0.9231995205878526,79.56264853477478,3,1,3,amplitude,6
0.33803668650328444,0.04321013236668325,85.5543041229248,3,1,3,amplitude,7
0.0379542644219457,0.8857410512052506,84.04793906211853,3,1,3,amplitude,8
0.09950373453859941,0.6992758599582406,81.43868231773376,3,1,3,amplitude,9
0.1810543136048395,0.4675927609837889,98.62502360343933,4,1,3,amplitude,0
0.15503523097918243,0.686876355262168,104.88797569274902,4,1,3,amplitude,1
0.27579018682417183,0.23973262355096858,99.4938154220581,4,1,3,amplitude,2
0.13864741918068707,0.022052174974697247,98.74376249313354,4,1,3,amplitude,3
0.04974571009814072,0.5981702371413627,99.93275904655457,4,1,3,amplitude,4
0.11736646601332591,0.445499826258983,98.79688239097595,4,1,3,amplitude,5
0.09795954934968337,0.711940731120238,97.21089029312134,4,1,3,amplitude,6
0.443143110170735,-0.2542864566232641,106.22060561180115,4,1,3,amplitude,7
0.17821077309021902,0.4635075687196212,102.58273816108704,4,1,3,amplitude,8
0.23846367717254802,0.2793056001220552,103.33955717086792,4,1,3,amplitude,9
0.04537499107193679,0.8665705708082652,110.3433837890625,5,1,3,amplitude,0
0.12419548990216522,0.7491631791525604,124.4097228050232,5,1,3,amplitude,1
0.16616044396614135,0.5419475715998441,126.60403823852539,5,1,3,amplitude,2
0.11812953759648898,0.1667747943207072,129.28380799293518,5,1,3,amplitude,3
0.021481907667265085,0.826476095191756,127.33557462692261,5,1,3,amplitude,4
0.10233143139701317,0.5165331425897399,119.18914914131165,5,1,3,amplitude,5
0.046013854323872005,0.8646919333248517,130.73988580703735,5,1,3,amplitude,6
0.31180255555102543,0.11746405711352614,127.45537996292114,5,1,3,amplitude,7
0.049022075516480544,0.8524220953413818,125.69428992271423,5,1,3,amplitude,8
