MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time
0.24386892004604224,0.2828805024388661,199.8205349445343,4,1,3,91.5479085445404
0.5447008865390263,-0.10012882754327168,205.05486965179443,4,1,3,83.28895115852356
0.4119205732356845,-0.13553631884275208,201.4016044139862,4,1,3,76.82636594772339
0.127733143578888,0.09903588047444545,190.5277738571167,4,1,3,77.03549098968506
0.06943627523146235,0.43911621816232904,192.55009245872498,4,1,3,76.90350413322449
0.08283739675108501,0.6086330921345551,196.16979670524597,4,1,3,77.16910147666931
0.1320676656474298,0.611642606957558,190.41175293922424,4,1,3,77.73360204696655
0.34448303839562494,0.024964171439805338,190.67859268188477,4,1,3,76.8974232673645
0.10829386583971087,0.6739880627324075,190.4462616443634,4,1,3,76.54164171218872
0.14934167928643854,0.5486536431616569,192.37476301193237,4,1,3,77.03787469863892
0.13666696935649203,0.5981179217932859,343.27569580078125,4,2,5,146.10717487335205
0.2383812577511243,0.5185429286441132,339.6088709831238,4,2,5,138.15131998062134
0.12622755304098052,0.6520300751410342,367.5138146877289,4,2,5,138.7403600215912
0.14545173043230533,-0.025941948743129384,367.9072480201721,4,2,5,150.84988713264465
0.034600827562422776,0.7205057017642089,364.95435905456543,4,2,5,150.04492330551147
0.10986686647969116,0.48093183154673147,364.75724935531616,4,2,5,148.30808401107788
0.08953293676852825,0.7367199780172982,366.3496026992798,4,2,5,149.06036710739136
0.3028233293457523,0.14287914664496792,368.32750487327576,4,2,5,148.7381522655487
0.01362306043000696,0.9589886251833162,369.6802935600281,4,2,5,150.85427975654602
0.06390359966438414,0.8068680020528274,366.0509715080261,4,2,5,149.69306087493896
0.2820909308761575,0.1704850844532797,514.6282315254211,4,3,7,213.28078055381775
0.19931808634702405,0.5974385611259516,515.2525839805603,4,3,7,213.48542070388794
0.02780178427781727,0.9233591672100585,515.9683849811554,4,3,7,213.31019473075867
0.1066598030482689,0.24767642250342514,515.8834230899811,4,3,7,213.48338747024536
0.049487089126330173,0.6002592937367532,516.1708281040192,4,3,7,213.90309739112854
0.04155574762879533,0.8036690541786563,515.3941836357117,4,3,7,213.01983189582825
0.27951981036574924,0.17804570615220294,516.127393245697,4,3,7,213.32436323165894
0.2461306050692013,0.303344049781469,516.1540610790253,4,3,7,213.3522388935089
0.07710008749217762,0.767894989324422,515.9559688568115,4,3,7,213.2603783607483
0.1587550728609198,0.5202041110844224,515.5024545192719,4,3,7,213.65534830093384
0.021334503141426233,0.9372638868019446,667.9406325817108,4,4,9,278.0603494644165
0.19457662227562567,0.6070148651831186,667.5844020843506,4,4,9,276.96045994758606
0.067563965080069,0.8137472581406006,669.0141086578369,4,4,9,278.0581691265106
0.12845989866684382,0.09390972261451269,672.1624114513397,4,4,9,278.46705770492554
0.06040421247710297,0.5120743009306402,620.9992060661316,4,4,9,262.0148811340332
0.18598998128086552,0.1212866806212024,618.8930246829987,4,4,9,256.8128309249878
0.08307670940011178,0.7557051218630377,617.2590594291687,4,4,9,255.7120921611786
0.12068785857479528,0.6584012184440671,615.1944859027863,4,4,9,257.8761899471283
0.13272087524203474,0.6004520725342893,613.6906545162201,4,4,9,254.68332076072693
0.1384152635939321,0.5816758907999416,672.9198474884033,4,4,9,255.79608607292175
0.01930690555695973,0.9432262282136927,827.3480744361877,4,5,11,342.66883397102356
0.11760909384592208,0.7624656803053124,800.4135746955872,4,5,11,339.71396708488464
0.08530641923381374,0.7648368555386597,804.0987985134125,4,5,11,331.6993176937103
0.07720888484350648,0.45540810314734015,806.3285119533539,4,5,11,335.4329414367676
0.03221085776434346,0.7398111050905837,813.8041234016418,4,5,11,342.28011989593506
0.07404325907086963,0.6501811683203728,794.5956087112427,4,5,11,324.0161461830139
0.12892891977226853,0.6208723844320421,765.4724209308624,4,5,11,321.87551522254944
0.24613505028187244,0.30333146790910714,762.7770133018494,4,5,11,318.0142846107483
0.107957473728261,0.6750007502293857,762.0919773578644,4,5,11,317.5222427845001
0.07117895729781136,0.7848801271458818,763.3537774085999,4,5,11,319.11308455467224
