MSE,R2_Score,Training_Time,N_Qubits,N_layers,Circuit_Depth,Embedding_Time
0.4244818031345073,-0.24822866862325377,212.78476572036743,4,1,3,87.35706114768982
0.4569120790824241,0.07717765424402057,196.77035093307495,4,1,3,86.91799259185791
0.36217970324233656,0.0015837185581600854,205.48702907562256,4,1,3,77.970299243927
0.11863513744733005,0.16320855214047025,215.818993806839,4,1,3,87.62534022331238
0.03509445363182209,0.7165183499701298,216.3462302684784,4,1,3,88.34097790718079
0.16728184963404572,0.20967361601170453,213.93974375724792,4,1,3,88.36161136627197
0.22909121379661004,0.3263357376475924,212.17335605621338,4,1,3,86.19487977027893
0.33124530764421484,0.06243266867430308,208.64006185531616,4,1,3,83.67492437362671
0.20756305504678685,0.37514435230209164,219.65420246124268,4,1,3,83.5012035369873
0.3130118649671808,0.05400310499293026,8140.407271623611,4,1,3,89.06351971626282
0.03226617018266743,0.905118291641067,362.792667388916,4,2,5,146.7972559928894
0.2059189617709814,0.5841068160886741,359.60188817977905,4,2,5,143.73650670051575
0.11189770538568122,0.6915329878706826,370.7663719654083,4,2,5,147.60615158081055
0.12498893805663125,0.1183920995643658,364.5297439098358,4,2,5,149.32685661315918
0.026566837495253993,0.785401676052849,349.80195140838623,4,2,5,141.9062740802765
0.09036377742570631,0.5730745588202377,351.9900414943695,4,2,5,141.64012718200684
0.016031705478502852,0.9528572621077689,349.5661795139313,4,2,5,141.77700853347778
0.24707952730524302,0.30065818988262694,351.69516348838806,4,2,5,140.4601218700409
0.012129521984496992,0.9634848296380083,349.82028102874756,4,2,5,140.27319765090942
0.16587742602710748,0.49867865235759823,350.6760137081146,4,2,5,140.59696245193481
0.16251904845365517,0.5220974515768755,504.6272671222687,4,3,7,203.33397769927979
0.0016854069207242637,0.9965959946358618,507.3828344345093,4,3,7,202.00930309295654
0.05000488102383631,0.8621521666763454,497.04064679145813,4,3,7,204.67888855934143
0.12443554770283707,0.12229543145529487,500.1886441707611,4,3,7,210.69492077827454
0.02745316943551796,0.7782421731998861,552.2432975769043,4,3,7,207.23347187042236
0.12851455143360968,0.39283047774400603,541.3325579166412,4,3,7,218.90312552452087
0.013868812456680847,0.9592174524788692,517.2111446857452,4,3,7,214.40882635116577
0.26842234357263445,0.2402487989297274,520.6312482357025,4,3,7,215.56975078582764
0.13587235029852496,0.5909647531884494,489.1707751750946,4,3,7,213.016535282135
0.24788421048615192,0.25083449004156555,512.0708355903625,4,3,7,201.5231535434723
0.05461584214681786,0.8393969790336149,666.3036077022552,4,4,9,282.66912364959717
0.02444434826634554,0.9506299092531633,632.9269464015961,4,4,9,264.3663785457611
0.045988293203612834,0.8732246443432368,632.6881890296936,4,4,9,261.8968195915222
0.1419688030169098,-0.001375164083631697,633.2905418872833,4,4,9,262.36687898635864
0.021028560900301398,0.8301380838034847,632.7885813713074,4,4,9,262.3268404006958
0.032952811733185365,0.8443137937779293,645.4762561321259,4,4,9,-10536.003939151764
0.1683302489333496,0.505009069968269,668.1245329380035,4,4,9,276.95351791381836
0.2541969024150575,0.28051294334250054,681.0776152610779,4,4,9,262.535945892334
0.16478874340974706,0.5039137529874398,648.6799945831299,4,4,9,295.5242462158203
0.143295300961241,0.5669272479730101,626.7882790565491,4,4,9,260.4028913974762
0.13615506254725274,0.5996232319155044,765.849541425705,4,5,11,319.3729500770569
0.13282359370814575,0.7317370541754076,764.2066044807434,4,5,11,318.32667684555054
0.17882730792514426,0.5070289853338013,763.5204586982727,4,5,11,318.2267801761627
0.08351544876586056,0.4109248339477046,762.8797948360443,4,5,11,318.24058985710144
0.03433310479319288,0.7226682797364455,762.6265738010406,4,5,11,317.3670642375946
0.09966102888054106,0.5291495117251462,764.9087932109833,4,5,11,317.7982063293457
0.10979294654083585,0.6771435136373442,763.9796578884125,4,5,11,318.4956464767456
0.3579012860520103,-0.013015266626007493,763.3963625431061,4,5,11,318.06266498565674
0.04139557119184051,0.875381211540407,763.741016626358,4,5,11,318.2712459564209
0.10269523978885546,0.6896303659848491,764.5183291435242,4,5,11,317.88256907463074
0.2860294363638217,0.15890353861331652,233.86042523384094,5,1,3,94.30689835548401
0.35361483088302514,0.2858064326403802,234.42238664627075,5,1,3,94.61454629898071
0.39883987454799014,-0.09947691952933879,249.34139919281006,5,1,3,94.77683067321777
0.10566231732983264,0.25471217545579194,265.0406060218811,5,1,3,107.2894012928009
0.05514677611570085,0.5545421720732726,262.6437418460846,5,1,3,107.46550846099854
0.23289434222965336,-0.10031389387646716,260.8025813102722,5,1,3,105.93096590042114
0.17788310315978284,0.47691800357964864,261.4879071712494,5,1,3,105.51471138000488
0.32410211125818733,0.08265100058189523,261.6134910583496,5,1,3,105.80507779121399
0.29114867338618017,0.12351505500774018,261.5235102176666,5,1,3,105.94749808311462
0.2930013080305955,0.11447980523353196,261.97298407554626,5,1,3,105.92101836204529
0.16953330938234276,0.5014713575588535,458.7567958831787,5,2,5,188.54673385620117
0.29689787420700886,0.40035730008299775,459.1029312610626,5,2,5,190.2254581451416
0.26229928284963316,0.27692283067457246,459.3370363712311,5,2,5,188.59763479232788
0.15319782371203386,-0.08057892013515677,459.8970949649811,5,2,5,188.9794659614563
0.04229796365536502,0.6583307249709188,460.3058295249939,5,2,5,188.74023818969727
0.1963259242749622,0.0724543149491107,459.78310799598694,5,2,5,189.02848172187805
0.13555226123687855,0.6013958258677929,459.6603558063507,5,2,5,189.18162322044373
0.3006462685071264,0.1490411693921596,460.17331886291504,5,2,5,189.14068746566772
0.19554711625677715,0.4113175875324052,459.33616733551025,5,2,5,189.04023146629333
0.1512849294902527,0.5427806751857533,460.31006693840027,5,2,5,189.3675184249878
0.13238943660218813,0.6106964091995062,652.2938280105591,5,3,7,271.7976486682892
0.17696925577068223,0.6425763484630256,652.850338935852,5,3,7,271.236385345459
0.04253284002927475,0.882750249113835,652.5166268348694,5,3,7,271.93458580970764
0.15300034031060147,-0.07918597345031664,660.7627687454224,5,3,7,271.5850224494934
0.041424095088627426,0.6653895527220761,652.5686385631561,5,3,7,276.45025420188904
0.10437112177421058,0.5068965853434356,653.0196151733398,5,3,7,272.3538701534271
0.0506883380903408,0.8509461741303841,653.644437789917,5,3,7,272.6166841983795
0.22755079895602845,0.3559329282714452,657.0001127719879,5,3,7,272.89567375183105
0.08955437300527715,0.7304021385897461,591.0687758922577,5,3,7,254.90188646316528
0.2234659556790245,0.3246323099148025,589.436145067215,5,3,7,244.5180640220642
0.00782803355805033,0.9769809310223668,768.5112278461456,5,4,9,318.76364755630493
0.18510511132576946,0.6261444140673428,769.4737596511841,5,4,9,319.3488426208496
0.11909512213344371,0.6716919586772824,768.6335871219635,5,4,9,320.0582377910614
0.11899971768725559,0.16063699000978449,768.783323764801,5,4,9,319.69871068000793
0.04695952983843682,0.6206761004777086,768.9538192749023,5,4,9,319.8279535770416
0.05610402384110641,0.7349354374874725,769.4930481910706,5,4,9,319.9816300868988
0.1437755800337606,0.5772143834650804,769.1245501041412,5,4,9,319.563508272171
0.3035354421482808,0.14086355975373666,769.9904885292053,5,4,9,319.98216247558594
0.04754654718205334,0.8568640814785453,770.1959965229034,5,4,9,319.81779646873474
0.0685094808992899,0.7929479247821175,769.6524286270142,5,4,9,320.14172744750977
0.15130662968747427,0.5550686235922787,946.0683801174164,5,5,11,394.60566902160645
0.13592287918462878,0.7254774475147144,945.8828272819519,5,5,11,394.9051821231842
